Mon Feb 10 17:35:59 2025    profile_output.prof

         25979773 function calls (23642197 primitive calls) in 95.415 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
110542/109697    0.059    0.000    0.094    0.000 {built-in method __new__ of type object at 0x55dfe32dff80}
    542/7    0.057    0.000    0.005    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py:185(draw_text)
   502740    0.057    0.000    0.057    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/utilities/scopes.py:47(dpp_scope_active)
32580/468    0.057    0.000    0.528    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/utilities/canonical.py:65(tree_copy)
48528/3132    0.056    0.000    1.512    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/expressions/expression.py:256(is_affine)
    34949    0.056    0.000    0.080    0.000 {built-in method builtins.sorted}
135864/12960    0.056    0.000    0.278    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/atoms/affine/affine_atom.py:48(<genexpr>)
     7059    0.055    0.000    0.097    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/transforms.py:616(translated)
33569/33533    0.055    0.000    0.217    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/transforms.py:1848(transform_affine)
281808/6012    0.055    0.000    0.218    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/utilities/debug_tools.py:24(<genexpr>)
    70848    0.055    0.000    0.070    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/_api/__init__.py:100(check_in_list)
44602/24288    0.054    0.000    0.070    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/transforms.py:164(_invalidate_internal)
    31131    0.054    0.000    0.057    0.000 {method '__reduce_ex__' of 'object' objects}
     2205    0.054    0.000    0.054    0.000 {built-in method _io.open_code}
81468/17280    0.054    0.000    0.331    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/expressions/expression.py:253(<genexpr>)
  12006/0    0.053    0.000    0.000          /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/artist.py:53(draw_wrapper)
    44369    0.053    0.000    0.053    0.000 {method 'match' of 're.Pattern' objects}
      468    0.052    0.000    0.550    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/cvxcore/python/cppbackend.py:203(build_lin_op_tree)
     2152    0.052    0.000    0.177    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/lines.py:672(recache)
    32580    0.052    0.000    0.617    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/reductions/dcp2cone/dcp2cone.py:103(canonicalize_expr)
11073/10851    0.051    0.000    0.218    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/axes/_base.py:851(_unstale_viewLim)
      431    0.050    0.000    0.137    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/scipy/_lib/doccer.py:29(docformat)
    23531    0.050    0.000    0.218    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:51(_wrapfunc)
    13294    0.050    0.000    0.307    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/transforms.py:804(from_extents)
3654/3489    0.049    0.000    0.569    0.000 {built-in method builtins.__build_class__}
     2028    0.049    0.000    0.347    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/lines.py:287(__init__)
    15325    0.049    0.000    0.134    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/pyparsing/core.py:3139(parseImpl)
    23618    0.049    0.000    0.135    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/pyparsing/results.py:573(copy)
32760/468    0.049    0.000    0.511    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/utilities/performance_utils.py:28(_lazyprop)
     1143    0.048    0.000    0.334    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/ticker.py:2157(_raw_ticks)
120392/75389    0.048    0.000    0.227    0.000 {built-in method builtins.hash}
     2641    0.048    0.000    0.508    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/axis.py:1538(get_minorticklocs)
 23370/38    0.047    0.000    0.478    0.013 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/pyparsing/core.py:4123(parseImpl)
    11210    0.047    0.000    0.106    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/transforms.py:1972(rotate)
54684/2844    0.047    0.000    0.064    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/utilities/canonical.py:53(parameters)
    82662    0.047    0.000    0.059    0.000 {built-in method builtins.max}
    28768    0.046    0.000    0.073    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/font_manager.py:1175(score_family)
  4416/24    0.046    0.000    0.005    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/text.py:738(draw)
     8784    0.046    0.000    0.102    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/expressions/leaf.py:95(__init__)
98987/39695    0.045    0.000    1.006    0.000 {built-in method builtins.all}
     5820    0.044    0.000    0.085    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/artist.py:179(__init__)
63786/63606    0.043    0.000    0.044    0.000 {method 'update' of 'dict' objects}
     8603    0.043    0.000    0.043    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/transforms.py:2917(_interval_contains_close)
    54130    0.043    0.000    0.043    0.000 {built-in method numpy.asanyarray}
   153582    0.042    0.000    0.067    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/pyparsing/core.py:2018(__hash__)
     4541    0.042    0.000    0.053    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/_mathtext.py:1242(hpack)
   221472    0.041    0.000    0.065    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/expressions/expression.py:762(__hash__)
6096/1828    0.041    0.000    2.087    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/pyparsing/core.py:4371(parseImpl)
   5266/2    0.041    0.000    5.013    2.507 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/_mathtext.py:1612(hlist_out)
  215/183    0.041    0.000    0.094    0.001 {built-in method _imp.exec_dynamic}
   232776    0.041    0.000    0.041    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/atoms/atom.py:79(shape)
    51066    0.039    0.000    0.052    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/weakref.py:451(get)
    11594    0.039    0.000    0.428    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/transforms.py:1472(transform)
    20185    0.038    0.000    0.118    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/colors.py:277(to_rgba)
     2530    0.038    0.000    0.403    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/transforms.py:641(union)
        1    0.037    0.037    0.037    0.037 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/cvxcore/python/cvxcore.py:1(<module>)
    31082    0.036    0.000    0.107    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/contextlib.py:299(helper)
61164/4572    0.036    0.000    0.286    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/atoms/affine/affine_atom.py:44(is_complex)
    24720    0.036    0.000    0.085    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/lines.py:1295(set_ydata)
      112    0.036    0.000    0.043    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/collections.py:352(draw)
    37648    0.036    0.000    0.036    0.000 {built-in method numpy.empty}
   120821    0.036    0.000    0.064    0.000 {method 'add' of 'set' objects}
31082/28653    0.035    0.000    0.264    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/contextlib.py:141(__exit__)
     1123    0.035    0.000    0.035    0.000 {method 'write' of '_io.BufferedRandom' objects}
   165195    0.035    0.000    0.035    0.000 {method 'startswith' of 'str' objects}
50619/50596    0.034    0.000    0.040    0.000 {method 'join' of 'str' objects}
      676    0.034    0.000    0.790    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/axis.py:59(__init__)
29016/11196    0.034    0.000    0.238    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/atoms/affine/binary_operators.py:78(is_complex)
    60485    0.034    0.000    0.041    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/artist.py:723(get_figure)
     5282    0.033    0.000    0.176    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/matplotlib/ticker.py:214(format_ticks)
    11628    0.033    0.000    0.272    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/cvxpy/atoms/affine/add_expr.py:32(__init__)
