Wed Feb  5 16:03:07 2025    profile_output.prof

         81890 function calls (79883 primitive calls) in 0.157 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      460    0.001    0.000    0.003    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_utils/_inspect.py:96(getargspec)
    10529    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
        1    0.000    0.000    0.003    0.003 /home/koova22/miniconda3/envs/q1/lib/python3.12/ctypes/__init__.py:1(<module>)
        8    0.000    0.000    0.003    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_compiler.py:740(compile)
       85    0.000    0.000    0.003    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:345(_remove_dups_flatten)
      269    0.001    0.000    0.003    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/functools.py:35(update_wrapper)
      793    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
    45/12    0.000    0.000    0.003    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1346(_make_substitution)
        1    0.000    0.000    0.003    0.003 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/printoptions.py:1(<module>)
      184    0.000    0.000    0.003    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1165(__init__)
        7    0.000    0.000    0.003    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/__init__.py:226(compile)
      377    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1800    0.001    0.000    0.003    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1152(_is_dunder)
      358    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
      124    0.000    0.000    0.003    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:317(_deduplicate)
        1    0.000    0.000    0.002    0.002 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/format.py:1(<module>)
      377    0.002    0.000    0.002    0.000 {built-in method posix.stat}
      358    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
        1    0.000    0.000    0.002    0.002 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/scimath.py:1(<module>)
      134    0.000    0.000    0.002    0.000 {built-in method fromkeys}
      269    0.001    0.000    0.002    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:175(_type_check)
      190    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      279    0.000    0.000    0.002    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:730(<genexpr>)
        1    0.000    0.000    0.002    0.002 /home/koova22/miniconda3/envs/q1/lib/python3.12/contextvars.py:1(<module>)
     4974    0.002    0.000    0.002    0.000 {built-in method builtins.getattr}
       99    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        1    0.000    0.000    0.002    0.002 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_scimath_impl.py:1(<module>)
       91    0.002    0.000    0.002    0.000 {built-in method _io.open_code}
      358    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
       70    0.000    0.000    0.002    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1591(__hash__)
        1    0.000    0.000    0.002    0.002 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/getlimits.py:166(_register_known_types)
       10    0.001    0.000    0.002    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/collections/__init__.py:355(namedtuple)
      460    0.001    0.000    0.002    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_utils/_inspect.py:65(getargs)
        8    0.000    0.000    0.002    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:969(parse)
       91    0.002    0.000    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
        8    0.000    0.000    0.002    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:2800(__new__)
        1    0.000    0.000    0.002    0.002 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_utils_impl.py:1(<module>)
     5023    0.002    0.000    0.002    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1617(<genexpr>)
     14/8    0.000    0.000    0.002    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:452(_parse_sub)
        6    0.000    0.000    0.002    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/getlimits.py:34(__init__)
     14/8    0.001    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_parser.py:512(_parse)
      512    0.001    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1196(__getattr__)
       27    0.000    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1065(_generic_class_getitem)
       25    0.000    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/dtypes.py:30(_add_dtype_helper)
       14    0.000    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1282(__ror__)
  838/833    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x55c5c6656f80}
        8    0.000    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:2781(_make_nmtuple)
       12    0.000    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1580(copy_with)
        1    0.000    0.000    0.001    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_arraysetops_impl.py:1(<module>)
        8    0.000    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/re/_compiler.py:573(_code)
       36    0.000    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/getlimits.py:111(_float_to_str)
       99    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1588(_get_spec)
      123    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      311    0.000    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/function_base.py:491(_add_docstring)
      182    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
      101    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
     2569    0.001    0.000    0.001    0.000 {method 'append' of 'list' objects}
       33    0.000    0.000    0.001    0.000 /home/koova22/miniconda3/envs/q1/lib/python3.12/typing.py:1408(copy_with)
        1    0.000    0.000    0.001    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_core/_add_newdocs_scalars.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/lib/_type_check_impl.py:1(<module>)
      132    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
        1    0.000    0.000    0.001    0.001 /home/koova22/miniconda3/envs/q1/lib/python3.12/site-packages/numpy/_globals.py:1(<module>)
     2156    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
